Importance,Level,Job Zone,Code,Occupation,OccupationCategory
50,43,1-2,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
50,43,1-2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",[Teknik] Teknik Mesin
50,43,1-2,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",[Teknik] Teknik Industri
50,43,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,[Keselamatan & Transportasi] Kepolisian
50,43,3,19-4071.00,Forest and Conservation Technicians,[Kesehatan] Laboratorium
50,43,1-2,51-8092.00,Gas Plant Operators,[Teknik] Teknik Industri
50,43,3,51-9071.00,Jewelers and Precious Stone and Metal Workers,[Teknik] Teknik Industri
50,43,3,49-9043.00,"Maintenance Workers, Machinery",[Teknik] Teknik Mesin
50,43,4,17-2121.00,Marine Engineers and Naval Architects,[Keselamatan & Transportasi] Kelautan
50,43,3,17-3013.00,Mechanical Drafters,[Teknik] Teknik Mesin
50,43,1-2,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
50,43,1-2,53-5022.00,Motorboat Operators,[Keselamatan & Transportasi] Transportasi / Logistik
50,43,1-2,17-3029.01,Non-Destructive Testing Specialists,[Teknik] Teknik Industri
50,43,3,51-8011.00,Nuclear Power Reactor Operators,[Teknik] Teknik Industri
50,43,5,29-1151.00,Nurse Anesthetists,[Kesehatan] Keperawatan
50,43,1-2,47-2073.00,Operating Engineers and Other Construction Equipment Operators,[Teknik] Teknik Sipil
50,43,1-2,51-9083.00,Ophthalmic Laboratory Technicians,[Teknik] Teknik Industri
50,43,5,29-1299.02,Orthoptists,[Kesehatan] Kedokteran
50,43,1-2,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",[Teknik] Teknik Industri
50,43,3,17-3029.08,Photonics Technicians,[Teknik] Teknik Industri
50,43,5,29-1071.00,Physician Assistants,[Kesehatan] Kedokteran
50,43,3,33-3021.02,Police Identification and Records Officers,[Keselamatan & Transportasi] Kepolisian
50,43,3,51-9195.05,"Potters, Manufacturing",[Teknik] Teknik Industri
50,43,4,11-3051.01,Quality Control Systems Managers,[Bisnis & Administrasi] Bisnis / Manajemen
50,43,1-2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",[Teknik] Teknik Industri
50,43,1-2,51-6051.00,"Sewers, Hand",[Teknik] Teknik Industri
50,43,1-2,53-4041.00,Subway and Streetcar Operators,[Keselamatan & Transportasi] Transportasi / Logistik
50,43,1-2,47-2044.00,Tile and Stone Setters,[Teknik] Teknik Mesin
50,43,5,29-1229.03,Urologists,[Kesehatan] Kedokteran
50,43,1-2,47-4099.03,Weatherization Installers and Technicians,[Teknik] Teknik Mesin
50,41,4,29-1141.01,Acute Care Nurses,[Kesehatan] Keperawatan
50,41,4,13-2022.00,Appraisers of Personal and Business Property,[Bisnis & Administrasi] Bisnis / Manajemen
50,41,1-2,51-9011.00,Chemical Equipment Operators and Tenders,[Teknik] Teknik Industri
50,41,1-2,45-3031.00,Fishing and Hunting Workers,[Keselamatan & Transportasi] Kelautan
50,41,1-2,51-9022.00,"Grinding and Polishing Workers, Hand",[Teknik] Teknik Industri
50,41,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",[Teknik] Teknik Industri
50,41,1-2,53-4011.00,Locomotive Engineers,[Keselamatan & Transportasi] Transportasi / Logistik
50,41,1-2,51-4051.00,Metal-Refining Furnace Operators and Tenders,[Teknik] Teknik Industri
50,41,5,19-1029.02,Molecular and Cellular Biologists,[Kesehatan] Laboratorium
50,41,5,29-1218.00,Obstetricians and Gynecologists,[Kesehatan] Kedokteran
50,41,5,29-1051.00,Pharmacists,[Kesehatan] Farmasi
50,41,1-2,51-6031.00,Sewing Machine Operators,[Teknik] Teknik Industri
50,39,5,29-1214.00,Emergency Medicine Physicians,[Kesehatan] Kedokteran
50,39,1-2,37-2021.00,Pest Control Workers,[Teknik] Teknik Sipil
50,39,1-2,47-2161.00,Plasterers and Stucco Masons,[Teknik] Teknik Sipil
50,39,1-2,51-2061.00,Timing Device Assemblers and Adjusters,[Teknik] Teknik Industri
50,36,1-2,51-2023.00,Electromechanical Equipment Assemblers,[Teknik] Teknik Industri
47,52,1-2,49-3092.00,Recreational Vehicle Service Technicians,[Teknik] Teknik Mesin
47,50,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,[Bisnis & Administrasi] Bisnis / Manajemen
47,48,3,17-3011.00,Architectural and Civil Drafters,[Teknik] Teknik Sipil
47,48,4,17-2041.00,Chemical Engineers,[Teknik] Teknik Industri
47,48,4,17-2112.03,Manufacturing Engineers,[Teknik] Teknik Industri
47,48,1-2,47-2231.00,Solar Photovoltaic Installers,[Teknik] Teknik Mesin
47,46,4,17-2072.00,"Electronics Engineers, Except Computer",[Teknik] Teknik Elektro
47,46,3,47-4021.00,Elevator and Escalator Installers and Repairers,[Teknik] Teknik Mesin
47,46,3,49-2098.00,Security and Fire Alarm Systems Installers,[Teknik] Teknik Mesin
47,46,3,53-5031.00,Ship Engineers,[Keselamatan & Transportasi] Kelautan
47,45,1-2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",[Teknik] Teknik Industri
47,45,4,17-2141.02,Automotive Engineers,[Teknik] Teknik Mesin
47,45,1-2,51-7011.00,Cabinetmakers and Bench Carpenters,[Teknik] Teknik Industri
47,45,3,29-2032.00,Diagnostic Medical Sonographers,[Kesehatan] Kedokteran
47,45,4,17-3025.00,Environmental Engineering Technologists and Technicians,[Teknik] Teknik Industri
47,45,1-2,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",[Teknik] Teknik Industri
47,45,1-2,49-9044.00,Millwrights,[Teknik] Teknik Mesin
47,45,3,29-2099.05,Ophthalmic Medical Technologists,[Kesehatan] Laboratorium
47,45,4,15-1255.01,Video Game Designers,[Seni & Kreatif] Multimedia / Film
47,45,1-2,51-8031.00,Water and Wastewater Treatment Plant and System Operators,[Teknik] Teknik Industri
47,45,3,49-9081.00,Wind Turbine Service Technicians,[Teknik] Teknik Mesin
47,43,4,17-1021.00,Cartographers and Photogrammetrists,[Teknik] Teknik Industri
47,43,3,35-2013.00,"Cooks, Private Household",[Seni & Kreatif] Tata Boga
47,43,1-2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,[Teknik] Teknik Industri
47,43,3,13-1041.06,Coroners,[Bisnis & Administrasi] Bisnis / Manajemen
47,43,3,11-3051.02,Geothermal Production Managers,[Bisnis & Administrasi] Bisnis / Manajemen
47,43,4,17-2199.05,Mechatronics Engineers,[Teknik] Teknik Mesin
